student_id;gender;CW;CH;SH;PL;RI;ME;TW;CF;E/I;S/N;T/F;J/P;group_1;group_2;has_belbin;has_mbti
348;M;8;11;14;2;3;11;9;12;0;8;-8;2;3;7;1;1
349;F;8;7;13;7;10;9;12;4;2;2;12;10;12;1;1;1
350;F;8;7;17;5;11;5;11;7;-2;-2;-4;-2;14;8;1;1
351;M;12;9;6;5;5;6;11;16;4;2;-4;-4;15;2;1;1
352;M;;;;;;;;;8;0;-8;2;19;4;0;1
353;F;9;11;14;5;4;4;12;11;;;;;;;1;0
354;M;11;11;14;6;2;5;14;7;-2;8;-4;12;6;6;1;1
355;M;9;5;9;9;8;6;11;13;6;8;-8;6;9;;1;1
356;F;12;14;8;5;4;4;13;10;-4;4;-4;8;13;7;1;1
357;F;8;8;10;11;10;6;9;8;-8;4;0;8;13;2;1;1
358;F;10;18;14;8;1;4;11;5;2;-4;2;-2;15;12;1;1
359;F;14;7;14;4;7;8;10;6;-2;-6;0;0;17;;1;1
360;F;8;10;16;3;3;7;13;10;4;2;8;2;8;11;1;1
361;F;10;7;9;14;10;8;10;2;6;12;0;16;18;1;1;1
362;F;9;11;11;4;8;7;16;4;6;-16;-12;2;19;;1;1
363;F;9;11;25;5;3;7;2;8;4;-8;-14;0;1;;1;1
364;M;5;8;13;14;6;6;12;6;2;-2;8;8;16;;1;1
365;M;12;7;11;6;3;9;17;5;7;-6;0;8;1;;1;1
366;M;12;7;6;8;10;9;15;3;8;8;0;2;10;;1;1
367;M;;;;;;;;;4;-4;0;6;6;;0;1
368;F;4;8;13;9;4;8;22;1;;;;;;;1;0
369;F;5;10;18;9;4;13;9;4;4;-8;-6;-4;9;;1;1
370;F;9;7;6;7;9;4;25;3;6;-4;-2;14;5;;1;1
371;F;7;14;10;8;9;4;15;3;6;-2;-14;-8;6;;1;1
372;F;7;10;12;6;9;7;13;6;2;6;-8;-8;2;;1;1
373;F;12;12;11;6;4;8;8;9;0;0;-2;14;18;5;1;1
374;F;12;13;6;7;10;6;11;7;-2;10;-10;10;5;5;1;1
375;F;0;5;19;5;20;14;0;6;8;-2;-6;12;3;2;1;1
376;M;;;;;;;;;6;2;10;10;11;;0;1
377;M;14;13;12;4;4;9;10;4;4;-2;-6;8;4;;1;1
378;M;6;11;14;5;3;6;14;11;-4;8;2;12;7;9;1;1
379;F;6;8;10;3;9;4;19;10;6;-6;-2;10;12;8;1;1
380;F;8;10;10;18;6;4;7;7;2;0;-8;0;12;;1;1
381;M;7;12;11;6;5;6;10;13;4;-4;-6;2;3;8;1;1
382;F;11;9;9;8;10;8;10;7;8;-2;-14;2;8;9;1;1
383;M;4;13;14;11;10;3;8;7;8;-6;12;0;17;5;1;1
